cohort,arm,dfrac,d,D_full,seed,n,minority,honest,sel_mean,sel_sd,sel_max,delta_selection,delta_vs_honest
Dong2022,leaky,0.25,212,851,0,279,136,0.6503,0.7477,0.0469,0.8332,0.0856,0.1829
Dong2022,leaky_fixedk,0.25,212,851,0,279,136,0.6503,0.6639,0.0578,0.772,0.1081,0.1217
Dong2022,infold,0.25,212,851,1,279,136,0.6781,0.732,0.0483,0.8202,0.0882,0.1421
Dong2022,leaky,0.25,212,851,1,279,136,0.6781,0.7501,0.0518,0.8554,0.1052,0.1773
Dong2022,leaky_fixedk,0.25,212,851,1,279,136,0.6781,0.6881,0.0601,0.8406,0.1525,0.1625
Dong2022,infold,0.25,212,851,2,279,136,0.6488,0.7218,0.0447,0.7998,0.078,0.1509
Dong2022,leaky,0.25,212,851,2,279,136,0.6488,0.7359,0.0475,0.8327,0.0967,0.1838
Dong2022,leaky_fixedk,0.25,212,851,2,279,136,0.6488,0.6803,0.0546,0.8037,0.1235,0.1549
Dong2022,infold,0.1,85,851,0,279,136,0.7048,0.7394,0.0487,0.8077,0.0683,0.1029
Dong2022,leaky,0.1,85,851,0,279,136,0.7048,0.7483,0.0483,0.8185,0.0702,0.1137
Dong2022,leaky_fixedk,0.1,85,851,0,279,136,0.7048,0.7163,0.0573,0.8083,0.092,0.1034
Dong2022,infold,0.1,85,851,1,279,136,0.6719,0.7231,0.0535,0.8355,0.1124,0.1636
Dong2022,leaky,0.1,85,851,1,279,136,0.6719,0.7231,0.0511,0.8276,0.1045,0.1556
Dong2022,leaky_fixedk,0.1,85,851,1,279,136,0.6719,0.6707,0.0656,0.8276,0.1569,0.1556
Dong2022,infold,0.1,85,851,2,279,136,0.6589,0.7386,0.0453,0.823,0.0844,0.1641
Dong2022,leaky,0.1,85,851,2,279,136,0.6589,0.7445,0.044,0.8293,0.0848,0.1704
Dong2022,leaky_fixedk,0.1,85,851,2,279,136,0.6589,0.6908,0.0582,0.8043,0.1135,0.1454
Hosny2018A,infold,1.0,984,984,0,293,134,0.5824,0.6076,0.0457,0.6943,0.0867,0.1118
Hosny2018A,leaky,1.0,984,984,0,293,134,0.5824,0.6449,0.0436,0.726,0.0811,0.1436
Hosny2018A,leaky_fixedk,1.0,984,984,0,293,134,0.5824,0.6108,0.0464,0.7167,0.1059,0.1342
Hosny2018A,infold,0.5,492,984,0,293,134,0.5745,0.602,0.0423,0.6896,0.0876,0.115
Hosny2018A,leaky,0.5,492,984,0,293,134,0.5745,0.6401,0.0477,0.7453,0.1052,0.1708
Hosny2018A,leaky_fixedk,0.5,492,984,0,293,134,0.5745,0.5971,0.0469,0.7016,0.1045,0.127
Hosny2018A,infold,0.5,492,984,1,293,134,0.581,0.6075,0.0416,0.699,0.0915,0.1179
Hosny2018A,leaky,0.5,492,984,1,293,134,0.581,0.6541,0.0446,0.7401,0.086,0.1591
Hosny2018A,leaky_fixedk,0.5,492,984,1,293,134,0.581,0.602,0.0503,0.7089,0.1068,0.1278
Hosny2018A,infold,0.5,492,984,2,293,134,0.5723,0.5951,0.0429,0.6677,0.0726,0.0954
Hosny2018A,leaky,0.5,492,984,2,293,134,0.5723,0.6279,0.0467,0.7307,0.1028,0.1584
Hosny2018A,leaky_fixedk,0.5,492,984,2,293,134,0.5723,0.5832,0.0518,0.7167,0.1335,0.1444
Hosny2018A,infold,0.25,246,984,0,293,134,0.5788,0.6148,0.0463,0.7146,0.0998,0.1358
Hosny2018A,leaky,0.25,246,984,0,293,134,0.5788,0.6442,0.0446,0.7297,0.0854,0.1509
Hosny2018A,leaky_fixedk,0.25,246,984,0,293,134,0.5788,0.6022,0.0486,0.6948,0.0926,0.116
Hosny2018A,infold,0.25,246,984,1,293,134,0.5652,0.5952,0.0436,0.6766,0.0814,0.1114
Hosny2018A,leaky,0.25,246,984,1,293,134,0.5652,0.6266,0.0457,0.726,0.0995,0.1608
Hosny2018A,leaky_fixedk,0.25,246,984,1,293,134,0.5652,0.5869,0.0499,0.6755,0.0886,0.1103
Hosny2018A,infold,0.25,246,984,2,293,134,0.5693,0.5988,0.0469,0.7031,0.1044,0.1338
Hosny2018A,leaky,0.25,246,984,2,293,134,0.5693,0.6311,0.0485,0.737,0.1059,0.1677
Hosny2018A,leaky_fixedk,0.25,246,984,2,293,134,0.5693,0.5786,0.0479,0.6591,0.0805,0.0898
Hosny2018A,infold,0.1,98,984,0,293,134,0.563,0.6321,0.0446,0.7122,0.0801,0.1493
Hosny2018A,leaky,0.1,98,984,0,293,134,0.563,0.6472,0.0392,0.7333,0.0861,0.1704
Hosny2018A,leaky_fixedk,0.1,98,984,0,293,134,0.563,0.5791,0.0508,0.6995,0.1204,0.1365
Hosny2018A,infold,0.1,98,984,1,293,134,0.5746,0.6191,0.0466,0.6943,0.0751,0.1196
Hosny2018A,leaky,0.1,98,984,1,293,134,0.5746,0.6378,0.0458,0.7115,0.0736,0.1368
Hosny2018A,leaky_fixedk,0.1,98,984,1,293,134,0.5746,0.5813,0.0487,0.6755,0.0942,0.1009
Hosny2018A,infold,0.1,98,984,2,293,134,0.5875,0.6324,0.0442,0.7029,0.0704,0.1153
Hosny2018A,leaky,0.1,98,984,2,293,134,0.5875,0.6451,0.0448,0.7333,0.0882,0.1458
Hosny2018A,leaky_fixedk,0.1,98,984,2,293,134,0.5875,0.5921,0.0512,0.6958,0.1037,0.1083
Song2020,infold,1.0,264,264,0,260,127,0.9546,0.9746,0.0155,1.0,0.0254,0.0454
Song2020,leaky,1.0,264,264,0,260,127,0.9546,0.9761,0.0153,1.0,0.0239,0.0454
Song2020,leaky_fixedk,1.0,264,264,0,260,127,0.9546,0.9545,0.0259,0.9993,0.0448,0.0447
Song2020,infold,0.5,132,264,0,260,127,0.9522,0.9716,0.0167,1.0,0.0284,0.0478
Song2020,leaky,0.5,132,264,0,260,127,0.9522,0.9721,0.0166,1.0,0.0279,0.0478
Song2020,leaky_fixedk,0.5,132,264,0,260,127,0.9522,0.9564,0.0249,0.9993,0.0429,0.0472
Song2020,infold,0.5,132,264,1,260,127,0.9541,0.9748,0.0153,1.0,0.0252,0.0459
Song2020,leaky,0.5,132,264,1,260,127,0.9541,0.9753,0.0155,1.0,0.0247,0.0459
Song2020,leaky_fixedk,0.5,132,264,1,260,127,0.9541,0.9561,0.0238,1.0,0.0439,0.0459
Song2020,infold,0.5,132,264,2,260,127,0.9519,0.9687,0.018,1.0,0.0313,0.0481
Song2020,leaky,0.5,132,264,2,260,127,0.9519,0.9698,0.0174,1.0,0.0302,0.0481
Song2020,leaky_fixedk,0.5,132,264,2,260,127,0.9519,0.9553,0.0262,1.0,0.0447,0.0481
Song2020,infold,0.25,66,264,0,260,127,0.949,0.9611,0.022,1.0,0.0389,0.051
Song2020,leaky,0.25,66,264,0,260,127,0.949,0.9633,0.0213,1.0,0.0367,0.051
Song2020,leaky_fixedk,0.25,66,264,0,260,127,0.949,0.9507,0.0255,0.9993,0.0486,0.0504
Song2020,infold,0.25,66,264,1,260,127,0.956,0.9698,0.0174,1.0,0.0302,0.044
Song2020,leaky,0.25,66,264,1,260,127,0.956,0.9694,0.0184,1.0,0.0306,0.044
Song2020,leaky_fixedk,0.25,66,264,1,260,127,0.956,0.9537,0.0238,1.0,0.0463,0.044
Song2020,infold,0.25,66,264,2,260,127,0.9543,0.9687,0.0196,1.0,0.0313,0.0457
Song2020,leaky,0.25,66,264,2,260,127,0.9543,0.9694,0.019,1.0,0.0306,0.0457
Song2020,leaky_fixedk,0.25,66,264,2,260,127,0.9543,0.9556,0.025,1.0,0.0444,0.0457
Song2020,infold,0.1,50,264,0,260,127,0.9456,0.9539,0.024,1.0,0.0461,0.0544
Song2020,leaky,0.1,50,264,0,260,127,0.9456,0.9556,0.024,1.0,0.0444,0.0544
Song2020,leaky_fixedk,0.1,50,264,0,260,127,0.9456,0.9443,0.0266,0.998,0.0537,0.0524
Song2020,infold,0.1,50,264,1,260,127,0.9577,0.9662,0.0197,0.9974,0.0312,0.0397
Song2020,leaky,0.1,50,264,1,260,127,0.9577,0.9662,0.0201,0.9974,0.0312,0.0397
Song2020,leaky_fixedk,0.1,50,264,1,260,127,0.9577,0.96,0.0194,0.9947,0.0348,0.037
Song2020,infold,0.1,50,264,2,260,127,0.9503,0.965,0.021,1.0,0.035,0.0497
Song2020,leaky,0.1,50,264,2,260,127,0.9503,0.9661,0.0204,1.0,0.0339,0.0497
Song2020,leaky_fixedk,0.1,50,264,2,260,127,0.9503,0.9532,0.026,1.0,0.0468,0.0497
