cohort,arm,n,minority,rep,honest,cherry,gap
Prostate-MRI-US-Biopsy,fix_n,200,90,0,0.6656,0.8316,0.166
Prostate-MRI-US-Biopsy,fix_n,200,90,1,0.6063,0.8193,0.213
Prostate-MRI-US-Biopsy,fix_n,200,90,2,0.5757,0.8103,0.2346
Prostate-MRI-US-Biopsy,fix_n,200,70,0,0.7112,0.8596,0.1484
Prostate-MRI-US-Biopsy,fix_n,200,70,1,0.6201,0.9585,0.3384
Prostate-MRI-US-Biopsy,fix_n,200,70,2,0.7127,0.8718,0.159
Prostate-MRI-US-Biopsy,fix_n,200,50,0,0.6195,0.8519,0.2324
Prostate-MRI-US-Biopsy,fix_n,200,50,1,0.6497,0.8296,0.18
Prostate-MRI-US-Biopsy,fix_n,200,50,2,0.7434,0.9215,0.1781
Prostate-MRI-US-Biopsy,fix_n,200,30,0,0.7601,0.939,0.1789
Prostate-MRI-US-Biopsy,fix_n,200,30,1,0.671,0.9281,0.2571
Prostate-MRI-US-Biopsy,fix_n,200,30,2,0.5811,0.8954,0.3143
Prostate-MRI-US-Biopsy,fix_n,200,20,0,0.559,0.8549,0.2959
Prostate-MRI-US-Biopsy,fix_n,200,20,1,0.7347,0.9259,0.1912
Prostate-MRI-US-Biopsy,fix_n,200,20,2,0.8514,0.9846,0.1332
Prostate-MRI-US-Biopsy,fix_e,120,50,0,0.7171,0.9048,0.1876
Prostate-MRI-US-Biopsy,fix_e,120,50,1,0.7084,0.9048,0.1963
Prostate-MRI-US-Biopsy,fix_e,120,50,2,0.7251,0.9079,0.1828
Prostate-MRI-US-Biopsy,fix_e,160,50,0,0.6156,0.8141,0.1985
Prostate-MRI-US-Biopsy,fix_e,160,50,1,0.7389,0.9071,0.1682
Prostate-MRI-US-Biopsy,fix_e,160,50,2,0.7191,0.903,0.1839
Prostate-MRI-US-Biopsy,fix_e,220,50,0,0.6685,0.8392,0.1707
Prostate-MRI-US-Biopsy,fix_e,220,50,1,0.676,0.885,0.209
Prostate-MRI-US-Biopsy,fix_e,220,50,2,0.7441,0.8771,0.133
Prostate-MRI-US-Biopsy,fix_e,320,50,0,0.6825,0.8724,0.1899
Prostate-MRI-US-Biopsy,fix_e,320,50,1,0.6977,0.8708,0.1731
Prostate-MRI-US-Biopsy,fix_e,320,50,2,0.7187,0.8807,0.162
Prostate-MRI-US-Biopsy,fix_e,450,50,0,0.6883,0.8311,0.1428
Prostate-MRI-US-Biopsy,fix_e,450,50,1,0.7166,0.9022,0.1856
Prostate-MRI-US-Biopsy,fix_e,450,50,2,0.7476,0.8767,0.1291
