cohort,arm,n,minority,rep,honest,sel_mean,sel_sd,sel_max,delta_selection
BraTS-2021,fix_n,200,20,0,0.7239,0.7673,0.0713,0.8858,0.1185
BraTS-2021,fix_e,120,50,0,0.6477,0.6754,0.0724,0.819,0.1437
BraTS-2021,fix_e,200,50,0,0.5083,0.5425,0.0627,0.7496,0.2071
BraTS-2021,fix_e,320,50,0,0.521,0.5915,0.0673,0.7638,0.1723
BraTS-2021,fix_n,200,90,1,0.6284,0.668,0.0608,0.7924,0.1244
BraTS-2021,fix_n,200,70,1,0.4824,0.5352,0.06,0.6545,0.1192
BraTS-2021,fix_n,200,50,1,0.5663,0.6212,0.0699,0.7585,0.1373
BraTS-2021,fix_n,200,35,1,0.5719,0.5898,0.0751,0.7477,0.1579
BraTS-2021,fix_n,200,20,1,0.5375,0.604,0.0868,0.7469,0.1429
BraTS-2021,fix_e,120,50,1,0.6086,0.6538,0.0651,0.819,0.1652
BraTS-2021,fix_e,200,50,1,0.5167,0.5888,0.0564,0.7037,0.1149
BraTS-2021,fix_e,320,50,1,0.5393,0.5895,0.0749,0.7539,0.1644
BraTS-2021,fix_n,200,90,2,0.5732,0.6237,0.0569,0.752,0.1283
BraTS-2021,fix_n,200,70,2,0.4773,0.5387,0.0623,0.6899,0.1512
BraTS-2021,fix_n,200,50,2,0.5648,0.5946,0.062,0.7393,0.1447
BraTS-2021,fix_n,200,35,2,0.417,0.5292,0.0895,0.724,0.1948
BraTS-2021,fix_n,200,20,2,0.5886,0.6848,0.0902,0.8549,0.1701
BraTS-2021,fix_e,120,50,2,0.6717,0.7017,0.0843,0.8857,0.1841
BraTS-2021,fix_e,200,50,2,0.5685,0.6349,0.0533,0.7733,0.1384
BraTS-2021,fix_e,320,50,2,0.5871,0.6701,0.0798,0.8263,0.1563
Hunter2023,fix_n,200,90,0,0.8143,0.8402,0.0459,0.9349,0.0947
Hunter2023,fix_n,200,70,0,0.7726,0.7998,0.0461,0.9023,0.1025
Hunter2023,fix_n,200,50,0,0.8637,0.878,0.0457,0.957,0.0791
Hunter2023,fix_n,200,35,0,0.8573,0.8935,0.0512,0.998,0.1045
Hunter2023,fix_n,200,20,0,0.8358,0.8522,0.0923,0.9846,0.1323
Hunter2023,fix_e,120,50,0,0.7591,0.7983,0.0707,0.9079,0.1096
Hunter2023,fix_e,200,50,0,0.8117,0.8485,0.0491,0.923,0.0745
Hunter2023,fix_e,320,50,0,0.8483,0.8658,0.0439,0.9613,0.0956
Hunter2023,fix_n,200,90,1,0.8161,0.8092,0.0522,0.9237,0.1145
Hunter2023,fix_n,200,70,1,0.7654,0.7885,0.0523,0.884,0.0955
Hunter2023,fix_n,200,50,1,0.744,0.7615,0.0683,0.8874,0.1259
Hunter2023,fix_n,200,35,1,0.839,0.8479,0.0457,0.95,0.1021
Hunter2023,fix_n,200,20,1,0.5908,0.7045,0.0997,0.8765,0.172
Hunter2023,fix_e,120,50,1,0.7643,0.7799,0.0654,0.9016,0.1217
Hunter2023,fix_e,200,50,1,0.8164,0.8674,0.0497,0.9867,0.1192
Hunter2023,fix_e,320,50,1,0.847,0.8741,0.0375,0.9572,0.0831
Hunter2023,fix_n,200,90,2,0.7874,0.8073,0.0516,0.9248,0.1175
Hunter2023,fix_n,200,70,2,0.7644,0.8011,0.0529,0.917,0.1159
Hunter2023,fix_n,200,50,2,0.834,0.8609,0.046,0.9481,0.0873
Hunter2023,fix_n,200,35,2,0.7778,0.8292,0.0569,0.956,0.1268
Hunter2023,fix_n,200,20,2,0.8139,0.8662,0.0848,0.9907,0.1245
Hunter2023,fix_e,120,50,2,0.8274,0.8655,0.0483,0.9492,0.0837
Hunter2023,fix_e,200,50,2,0.7869,0.8088,0.0491,0.9111,0.1023
Hunter2023,fix_e,320,50,2,0.7925,0.8228,0.0578,0.9259,0.1032
